TOP.6287f2bf.000e598e	START
TOP.6287f2bf.000e598e	user_options->username	0
TOP.6287f2bf.000e598e	user_options->veracrypt_pim_start	485
TOP.6287f2bf.000e598e	user_options->veracrypt_pim_stop	485
TOP.6287f2bf.000e598e	user_options->version	0
TOP.6287f2bf.000e598e	user_options->workload_profile	2
TOP.6287f2bf.000e598e	user_options->brain_client	0
TOP.6287f2bf.000e598e	user_options->brain_client_features	2
TOP.6287f2bf.000e598e	user_options->brain_server	0
TOP.6287f2bf.000e598e	user_options->brain_server_timer	300
TOP.6287f2bf.000e598e	user_options->brain_port	6863
TOP.6287f2bf.000e598e	user_options->brain_session	0
TOP.6287f2bf.000e598e	proc_start	1653076671
TOP.6287f2bf.000e598e	proc_stop	1653076672
TOP.6287f2bf.000e598e	STOP
TOP.6287f2cf.0000b80d	START
TOP.6287f2cf.0000b80d	folder_config->cwd	C:\Users\I3_7350k\Downloads\hashcat-6.2.5
TOP.6287f2cf.0000b80d	folder_config->install_dir	.
TOP.6287f2cf.0000b80d	folder_config->profile_dir	.
TOP.6287f2cf.0000b80d	folder_config->session_dir	.
TOP.6287f2cf.0000b80d	folder_config->shared_dir	.
TOP.6287f2cf.0000b80d	user_options->custom_charset_1	?l?d?u
TOP.6287f2cf.0000b80d	user_options->custom_charset_2	?l?d
TOP.6287f2cf.0000b80d	user_options->custom_charset_3	?l?d*!$@_
TOP.6287f2cf.0000b80d	user_options->encoding_from	utf-8
TOP.6287f2cf.0000b80d	user_options->encoding_to	utf-8
TOP.6287f2cf.0000b80d	user_options->rule_buf_l	:
TOP.6287f2cf.0000b80d	user_options->rule_buf_r	:
TOP.6287f2cf.0000b80d	user_options->session	hashcat
TOP.6287f2cf.0000b80d	user_options->separator	:
TOP.6287f2cf.0000b80d	user_options->limit	0
TOP.6287f2cf.0000b80d	user_options->skip	0
TOP.6287f2cf.0000b80d	user_options->attack_mode	3
TOP.6287f2cf.0000b80d	user_options->benchmark	0
TOP.6287f2cf.0000b80d	user_options->benchmark_all	0
TOP.6287f2cf.0000b80d	user_options->bitmap_max	18
TOP.6287f2cf.0000b80d	user_options->bitmap_min	16
TOP.6287f2cf.0000b80d	user_options->debug_mode	0
TOP.6287f2cf.0000b80d	user_options->hash_info	0
TOP.6287f2cf.0000b80d	user_options->force	0
TOP.6287f2cf.0000b80d	user_options->hwmon_disable	0
TOP.6287f2cf.0000b80d	user_options->hwmon_temp_abort	90
TOP.6287f2cf.0000b80d	user_options->hash_mode	22000
TOP.6287f2cf.0000b80d	user_options->hex_charset	0
TOP.6287f2cf.0000b80d	user_options->hex_salt	0
TOP.6287f2cf.0000b80d	user_options->hex_wordlist	0
TOP.6287f2cf.0000b80d	user_options->hook_threads	4
TOP.6287f2cf.0000b80d	user_options->identify	0
TOP.6287f2cf.0000b80d	user_options->increment	1
TOP.6287f2cf.0000b80d	user_options->increment_max	256
TOP.6287f2cf.0000b80d	user_options->increment_min	1
TOP.6287f2cf.0000b80d	user_options->keep_guessing	0
TOP.6287f2cf.0000b80d	user_options->kernel_accel	0
TOP.6287f2cf.0000b80d	user_options->kernel_loops	0
TOP.6287f2cf.0000b80d	user_options->kernel_threads	0
TOP.6287f2cf.0000b80d	user_options->keyspace	0
TOP.6287f2cf.0000b80d	user_options->left	0
TOP.6287f2cf.0000b80d	user_options->logfile_disable	0
TOP.6287f2cf.0000b80d	user_options->loopback	0
TOP.6287f2cf.0000b80d	user_options->machine_readable	0
TOP.6287f2cf.0000b80d	user_options->markov_classic	0
TOP.6287f2cf.0000b80d	user_options->markov_disable	0
TOP.6287f2cf.0000b80d	user_options->markov_inverse	0
TOP.6287f2cf.0000b80d	user_options->markov_threshold	256
TOP.6287f2cf.0000b80d	user_options->multiply_accel_disable	0
TOP.6287f2cf.0000b80d	user_options->backend_info	0
TOP.6287f2cf.0000b80d	user_options->backend_vector_width	0
TOP.6287f2cf.0000b80d	user_options->optimized_kernel_enable	0
TOP.6287f2cf.0000b80d	user_options->outfile_autohex	1
TOP.6287f2cf.0000b80d	user_options->outfile_check_timer	5
TOP.6287f2cf.0000b80d	user_options->outfile_format	3
TOP.6287f2cf.0000b80d	user_options->wordlist_autohex_disable	0
TOP.6287f2cf.0000b80d	user_options->potfile_disable	0
TOP.6287f2cf.0000b80d	user_options->progress_only	0
TOP.6287f2cf.0000b80d	user_options->quiet	0
TOP.6287f2cf.0000b80d	user_options->remove	0
TOP.6287f2cf.0000b80d	user_options->remove_timer	60
TOP.6287f2cf.0000b80d	user_options->restore	0
TOP.6287f2cf.0000b80d	user_options->restore_disable	0
TOP.6287f2cf.0000b80d	user_options->restore_timer	60
TOP.6287f2cf.0000b80d	user_options->rp_files_cnt	0
TOP.6287f2cf.0000b80d	user_options->rp_gen	0
TOP.6287f2cf.0000b80d	user_options->rp_gen_func_max	4
TOP.6287f2cf.0000b80d	user_options->rp_gen_func_min	1
TOP.6287f2cf.0000b80d	user_options->rp_gen_seed	0
TOP.6287f2cf.0000b80d	user_options->runtime	0
TOP.6287f2cf.0000b80d	user_options->scrypt_tmto	0
TOP.6287f2cf.0000b80d	user_options->segment_size	33554432
TOP.6287f2cf.0000b80d	user_options->self_test_disable	0
TOP.6287f2cf.0000b80d	user_options->slow_candidates	0
TOP.6287f2cf.0000b80d	user_options->show	0
TOP.6287f2cf.0000b80d	user_options->speed_only	0
TOP.6287f2cf.0000b80d	user_options->spin_damp	0
TOP.6287f2cf.0000b80d	user_options->status	0
TOP.6287f2cf.0000b80d	user_options->status_json	0
TOP.6287f2cf.0000b80d	user_options->status_timer	10
TOP.6287f2cf.0000b80d	user_options->stdout_flag	0
TOP.6287f2cf.0000b80d	user_options->usage	0
TOP.6287f2cf.0000b80d	user_options->username	0
TOP.6287f2cf.0000b80d	user_options->veracrypt_pim_start	485
TOP.6287f2cf.0000b80d	user_options->veracrypt_pim_stop	485
TOP.6287f2cf.0000b80d	user_options->version	0
TOP.6287f2cf.0000b80d	user_options->workload_profile	2
TOP.6287f2cf.0000b80d	user_options->brain_client	0
TOP.6287f2cf.0000b80d	user_options->brain_client_features	2
TOP.6287f2cf.0000b80d	user_options->brain_server	0
TOP.6287f2cf.0000b80d	user_options->brain_server_timer	300
TOP.6287f2cf.0000b80d	user_options->brain_port	6863
TOP.6287f2cf.0000b80d	user_options->brain_session	0
TOP.6287f2cf.0000b80d	proc_start	1653076687
TOP.6287f2cf.0000b80d	proc_stop	1653076687
TOP.6287f2cf.0000b80d	STOP
TOP.6287f342.0002b093	START
TOP.6287f342.0002b093	folder_config->cwd	C:\Users\I3_7350k\Downloads\hashcat-6.2.5
TOP.6287f342.0002b093	folder_config->install_dir	.
TOP.6287f342.0002b093	folder_config->profile_dir	.
TOP.6287f342.0002b093	folder_config->session_dir	.
TOP.6287f342.0002b093	folder_config->shared_dir	.
TOP.6287f342.0002b093	user_options->encoding_from	utf-8
TOP.6287f342.0002b093	user_options->encoding_to	utf-8
TOP.6287f342.0002b093	user_options->rule_buf_l	:
TOP.6287f342.0002b093	user_options->rule_buf_r	:
TOP.6287f342.0002b093	user_options->session	hashcat
TOP.6287f342.0002b093	user_options->separator	:
TOP.6287f342.0002b093	user_options->limit	0
TOP.6287f342.0002b093	user_options->skip	0
TOP.6287f342.0002b093	user_options->attack_mode	3
TOP.6287f342.0002b093	user_options->benchmark	0
TOP.6287f342.0002b093	user_options->benchmark_all	0
TOP.6287f342.0002b093	user_options->bitmap_max	18
TOP.6287f342.0002b093	user_options->bitmap_min	16
TOP.6287f342.0002b093	user_options->debug_mode	0
TOP.6287f342.0002b093	user_options->hash_info	0
TOP.6287f342.0002b093	user_options->force	0
TOP.6287f342.0002b093	user_options->hwmon_disable	0
TOP.6287f342.0002b093	user_options->hwmon_temp_abort	90
TOP.6287f342.0002b093	user_options->hash_mode	22000
TOP.6287f342.0002b093	user_options->hex_charset	0
TOP.6287f342.0002b093	user_options->hex_salt	0
TOP.6287f342.0002b093	user_options->hex_wordlist	0
TOP.6287f342.0002b093	user_options->hook_threads	4
TOP.6287f342.0002b093	user_options->identify	0
TOP.6287f342.0002b093	user_options->increment	0
TOP.6287f342.0002b093	user_options->increment_max	256
TOP.6287f342.0002b093	user_options->increment_min	1
TOP.6287f342.0002b093	user_options->keep_guessing	0
TOP.6287f342.0002b093	user_options->kernel_accel	0
TOP.6287f342.0002b093	user_options->kernel_loops	0
TOP.6287f342.0002b093	user_options->kernel_threads	0
TOP.6287f342.0002b093	user_options->keyspace	0
TOP.6287f342.0002b093	user_options->left	0
TOP.6287f342.0002b093	user_options->logfile_disable	0
TOP.6287f342.0002b093	user_options->loopback	0
TOP.6287f342.0002b093	user_options->machine_readable	0
TOP.6287f342.0002b093	user_options->markov_classic	0
TOP.6287f342.0002b093	user_options->markov_disable	0
TOP.6287f342.0002b093	user_options->markov_inverse	0
TOP.6287f342.0002b093	user_options->markov_threshold	256
TOP.6287f342.0002b093	user_options->multiply_accel_disable	0
TOP.6287f342.0002b093	user_options->backend_info	0
TOP.6287f342.0002b093	user_options->backend_vector_width	0
TOP.6287f342.0002b093	user_options->optimized_kernel_enable	0
TOP.6287f342.0002b093	user_options->outfile_autohex	1
TOP.6287f342.0002b093	user_options->outfile_check_timer	5
TOP.6287f342.0002b093	user_options->outfile_format	3
TOP.6287f342.0002b093	user_options->wordlist_autohex_disable	0
TOP.6287f342.0002b093	user_options->potfile_disable	0
TOP.6287f342.0002b093	user_options->progress_only	0
TOP.6287f342.0002b093	user_options->quiet	0
TOP.6287f342.0002b093	user_options->remove	0
TOP.6287f342.0002b093	user_options->remove_timer	60
TOP.6287f342.0002b093	user_options->restore	0
TOP.6287f342.0002b093	user_options->restore_disable	0
TOP.6287f342.0002b093	user_options->restore_timer	60
TOP.6287f342.0002b093	user_options->rp_files_cnt	0
TOP.6287f342.0002b093	user_options->rp_gen	0
TOP.6287f342.0002b093	user_options->rp_gen_func_max	4
TOP.6287f342.0002b093	user_options->rp_gen_func_min	1
TOP.6287f342.0002b093	user_options->rp_gen_seed	0
TOP.6287f342.0002b093	user_options->runtime	0
TOP.6287f342.0002b093	user_options->scrypt_tmto	0
TOP.6287f342.0002b093	user_options->segment_size	33554432
TOP.6287f342.0002b093	user_options->self_test_disable	0
TOP.6287f342.0002b093	user_options->slow_candidates	0
TOP.6287f342.0002b093	user_options->show	0
TOP.6287f342.0002b093	user_options->speed_only	0
TOP.6287f342.0002b093	user_options->spin_damp	0
TOP.6287f342.0002b093	user_options->status	0
TOP.6287f342.0002b093	user_options->status_json	0
TOP.6287f342.0002b093	user_options->status_timer	10
TOP.6287f342.0002b093	user_options->stdout_flag	0
TOP.6287f342.0002b093	user_options->usage	0
TOP.6287f342.0002b093	user_options->username	0
TOP.6287f342.0002b093	user_options->veracrypt_pim_start	485
TOP.6287f342.0002b093	user_options->veracrypt_pim_stop	485
TOP.6287f342.0002b093	user_options->version	0
TOP.6287f342.0002b093	user_options->workload_profile	2
TOP.6287f342.0002b093	user_options->brain_client	0
TOP.6287f342.0002b093	user_options->brain_client_features	2
TOP.6287f342.0002b093	user_options->brain_server	0
TOP.6287f342.0002b093	user_options->brain_server_timer	300
TOP.6287f342.0002b093	user_options->brain_port	6863
TOP.6287f342.0002b093	user_options->brain_session	0
TOP.6287f342.0002b093	proc_start	1653076802
TOP.6287f342.0002b093	proc_stop	1653076802
TOP.6287f342.0002b093	STOP
TOP.6287f667.000aa85b	START
TOP.6287f667.000aa85b	folder_config->cwd	C:\Users\I3_7350k\Downloads\hashcat-6.2.5
TOP.6287f667.000aa85b	folder_config->install_dir	.
TOP.6287f667.000aa85b	folder_config->profile_dir	.
TOP.6287f667.000aa85b	folder_config->session_dir	.
TOP.6287f667.000aa85b	folder_config->shared_dir	.
TOP.6287f667.000aa85b	user_options->encoding_from	utf-8
TOP.6287f667.000aa85b	user_options->encoding_to	utf-8
TOP.6287f667.000aa85b	user_options->rule_buf_l	:
TOP.6287f667.000aa85b	user_options->rule_buf_r	:
TOP.6287f667.000aa85b	user_options->session	hashcat
TOP.6287f667.000aa85b	user_options->separator	:
TOP.6287f667.000aa85b	user_options->limit	0
TOP.6287f667.000aa85b	user_options->skip	0
TOP.6287f667.000aa85b	user_options->attack_mode	3
TOP.6287f667.000aa85b	user_options->benchmark	0
TOP.6287f667.000aa85b	user_options->benchmark_all	0
TOP.6287f667.000aa85b	user_options->bitmap_max	18
TOP.6287f667.000aa85b	user_options->bitmap_min	16
TOP.6287f667.000aa85b	user_options->debug_mode	0
TOP.6287f667.000aa85b	user_options->hash_info	0
TOP.6287f667.000aa85b	user_options->force	0
TOP.6287f667.000aa85b	user_options->hwmon_disable	0
TOP.6287f667.000aa85b	user_options->hwmon_temp_abort	90
TOP.6287f667.000aa85b	user_options->hash_mode	22000
TOP.6287f667.000aa85b	user_options->hex_charset	0
TOP.6287f667.000aa85b	user_options->hex_salt	0
TOP.6287f667.000aa85b	user_options->hex_wordlist	0
TOP.6287f667.000aa85b	user_options->hook_threads	4
TOP.6287f667.000aa85b	user_options->identify	0
TOP.6287f667.000aa85b	user_options->increment	0
TOP.6287f667.000aa85b	user_options->increment_max	256
TOP.6287f667.000aa85b	user_options->increment_min	1
TOP.6287f667.000aa85b	user_options->keep_guessing	0
TOP.6287f667.000aa85b	user_options->kernel_accel	0
TOP.6287f667.000aa85b	user_options->kernel_loops	0
TOP.6287f667.000aa85b	user_options->kernel_threads	0
TOP.6287f667.000aa85b	user_options->keyspace	0
TOP.6287f667.000aa85b	user_options->left	0
TOP.6287f667.000aa85b	user_options->logfile_disable	0
TOP.6287f667.000aa85b	user_options->loopback	0
TOP.6287f667.000aa85b	user_options->machine_readable	0
TOP.6287f667.000aa85b	user_options->markov_classic	0
TOP.6287f667.000aa85b	user_options->markov_disable	0
TOP.6287f667.000aa85b	user_options->markov_inverse	0
TOP.6287f667.000aa85b	user_options->markov_threshold	256
TOP.6287f667.000aa85b	user_options->multiply_accel_disable	0
TOP.6287f667.000aa85b	user_options->backend_info	0
TOP.6287f667.000aa85b	user_options->backend_vector_width	0
TOP.6287f667.000aa85b	user_options->optimized_kernel_enable	0
TOP.6287f667.000aa85b	user_options->outfile_autohex	1
TOP.6287f667.000aa85b	user_options->outfile_check_timer	5
TOP.6287f667.000aa85b	user_options->outfile_format	3
TOP.6287f667.000aa85b	user_options->wordlist_autohex_disable	0
TOP.6287f667.000aa85b	user_options->potfile_disable	0
TOP.6287f667.000aa85b	user_options->progress_only	0
TOP.6287f667.000aa85b	user_options->quiet	0
TOP.6287f667.000aa85b	user_options->remove	0
TOP.6287f667.000aa85b	user_options->remove_timer	60
TOP.6287f667.000aa85b	user_options->restore	0
TOP.6287f667.000aa85b	user_options->restore_disable	0
TOP.6287f667.000aa85b	user_options->restore_timer	60
TOP.6287f667.000aa85b	user_options->rp_files_cnt	0
TOP.6287f667.000aa85b	user_options->rp_gen	0
TOP.6287f667.000aa85b	user_options->rp_gen_func_max	4
TOP.6287f667.000aa85b	user_options->rp_gen_func_min	1
TOP.6287f667.000aa85b	user_options->rp_gen_seed	0
TOP.6287f667.000aa85b	user_options->runtime	0
TOP.6287f667.000aa85b	user_options->scrypt_tmto	0
TOP.6287f667.000aa85b	user_options->segment_size	33554432
TOP.6287f667.000aa85b	user_options->self_test_disable	0
TOP.6287f667.000aa85b	user_options->slow_candidates	0
TOP.6287f667.000aa85b	user_options->show	0
TOP.6287f667.000aa85b	user_options->speed_only	0
TOP.6287f667.000aa85b	user_options->spin_damp	0
TOP.6287f667.000aa85b	user_options->status	0
TOP.6287f667.000aa85b	user_options->status_json	0
TOP.6287f667.000aa85b	user_options->status_timer	10
TOP.6287f667.000aa85b	user_options->stdout_flag	0
TOP.6287f667.000aa85b	user_options->usage	0
TOP.6287f667.000aa85b	user_options->username	0
TOP.6287f667.000aa85b	user_options->veracrypt_pim_start	485
TOP.6287f667.000aa85b	user_options->veracrypt_pim_stop	485
TOP.6287f667.000aa85b	user_options->version	0
TOP.6287f667.000aa85b	user_options->workload_profile	2
TOP.6287f667.000aa85b	user_options->brain_client	0
TOP.6287f667.000aa85b	user_options->brain_client_features	2
TOP.6287f667.000aa85b	user_options->brain_server	0
TOP.6287f667.000aa85b	user_options->brain_server_timer	300
TOP.6287f667.000aa85b	user_options->brain_port	6863
TOP.6287f667.000aa85b	user_options->brain_session	0
TOP.6287f667.000aa85b	proc_start	1653077607
TOP.6287f667.000aa85b	proc_stop	1653077607
TOP.6287f667.000aa85b	STOP
TOP.6288ddb9.00010df4	START
TOP.6288ddb9.00010df4	folder_config->cwd	C:\Users\I3_7350k\Downloads\hashcat-6.2.5
TOP.6288ddb9.00010df4	folder_config->install_dir	.
TOP.6288ddb9.00010df4	folder_config->profile_dir	.
TOP.6288ddb9.00010df4	folder_config->session_dir	.
TOP.6288ddb9.00010df4	folder_config->shared_dir	.
TOP.6288ddb9.00010df4	user_options->encoding_from	utf-8
TOP.6288ddb9.00010df4	user_options->encoding_to	utf-8
TOP.6288ddb9.00010df4	user_options->rule_buf_l	:
TOP.6288ddb9.00010df4	user_options->rule_buf_r	:
TOP.6288ddb9.00010df4	user_options->session	hashcat
TOP.6288ddb9.00010df4	user_options->separator	:
TOP.6288ddb9.00010df4	user_options->limit	0
TOP.6288ddb9.00010df4	user_options->skip	0
TOP.6288ddb9.00010df4	user_options->attack_mode	3
TOP.6288ddb9.00010df4	user_options->benchmark	0
TOP.6288ddb9.00010df4	user_options->benchmark_all	0
TOP.6288ddb9.00010df4	user_options->bitmap_max	18
TOP.6288ddb9.00010df4	user_options->bitmap_min	16
TOP.6288ddb9.00010df4	user_options->debug_mode	0
TOP.6288ddb9.00010df4	user_options->hash_info	0
TOP.6288ddb9.00010df4	user_options->force	0
TOP.6288ddb9.00010df4	user_options->hwmon_disable	0
TOP.6288ddb9.00010df4	user_options->hwmon_temp_abort	90
TOP.6288ddb9.00010df4	user_options->hash_mode	2500
TOP.6288ddb9.00010df4	user_options->hex_charset	0
TOP.6288ddb9.00010df4	user_options->hex_salt	0
TOP.6288ddb9.00010df4	user_options->hex_wordlist	0
TOP.6288ddb9.00010df4	user_options->hook_threads	4
TOP.6288ddb9.00010df4	user_options->identify	0
TOP.6288ddb9.00010df4	user_options->increment	0
TOP.6288ddb9.00010df4	user_options->increment_max	256
TOP.6288ddb9.00010df4	user_options->increment_min	1
TOP.6288ddb9.00010df4	user_options->keep_guessing	0
TOP.6288ddb9.00010df4	user_options->kernel_accel	0
TOP.6288ddb9.00010df4	user_options->kernel_loops	0
TOP.6288ddb9.00010df4	user_options->kernel_threads	0
TOP.6288ddb9.00010df4	user_options->keyspace	0
TOP.6288ddb9.00010df4	user_options->left	0
TOP.6288ddb9.00010df4	user_options->logfile_disable	0
TOP.6288ddb9.00010df4	user_options->loopback	0
TOP.6288ddb9.00010df4	user_options->machine_readable	0
TOP.6288ddb9.00010df4	user_options->markov_classic	0
TOP.6288ddb9.00010df4	user_options->markov_disable	0
TOP.6288ddb9.00010df4	user_options->markov_inverse	0
TOP.6288ddb9.00010df4	user_options->markov_threshold	256
TOP.6288ddb9.00010df4	user_options->multiply_accel_disable	0
TOP.6288ddb9.00010df4	user_options->backend_info	0
TOP.6288ddb9.00010df4	user_options->backend_vector_width	0
TOP.6288ddb9.00010df4	user_options->optimized_kernel_enable	0
TOP.6288ddb9.00010df4	user_options->outfile_autohex	1
TOP.6288ddb9.00010df4	user_options->outfile_check_timer	5
TOP.6288ddb9.00010df4	user_options->outfile_format	3
TOP.6288ddb9.00010df4	user_options->wordlist_autohex_disable	0
TOP.6288ddb9.00010df4	user_options->potfile_disable	0
TOP.6288ddb9.00010df4	user_options->progress_only	0
TOP.6288ddb9.00010df4	user_options->quiet	0
TOP.6288ddb9.00010df4	user_options->remove	0
TOP.6288ddb9.00010df4	user_options->remove_timer	60
TOP.6288ddb9.00010df4	user_options->restore	0
TOP.6288ddb9.00010df4	user_options->restore_disable	0
TOP.6288ddb9.00010df4	user_options->restore_timer	60
TOP.6288ddb9.00010df4	user_options->rp_files_cnt	0
TOP.6288ddb9.00010df4	user_options->rp_gen	0
TOP.6288ddb9.00010df4	user_options->rp_gen_func_max	4
TOP.6288ddb9.00010df4	user_options->rp_gen_func_min	1
TOP.6288ddb9.00010df4	user_options->rp_gen_seed	0
TOP.6288ddb9.00010df4	user_options->runtime	0
TOP.6288ddb9.00010df4	user_options->scrypt_tmto	0
TOP.6288ddb9.00010df4	user_options->segment_size	33554432
TOP.6288ddb9.00010df4	user_options->self_test_disable	0
TOP.6288ddb9.00010df4	user_options->slow_candidates	0
TOP.6288ddb9.00010df4	user_options->show	0
TOP.6288ddb9.00010df4	user_options->speed_only	0
TOP.6288ddb9.00010df4	user_options->spin_damp	0
TOP.6288ddb9.00010df4	user_options->status	0
TOP.6288ddb9.00010df4	user_options->status_json	0
TOP.6288ddb9.00010df4	user_options->status_timer	10
TOP.6288ddb9.00010df4	user_options->stdout_flag	0
TOP.6288ddb9.00010df4	user_options->usage	0
TOP.6288ddb9.00010df4	user_options->username	0
TOP.6288ddb9.00010df4	user_options->veracrypt_pim_start	485
TOP.6288ddb9.00010df4	user_options->veracrypt_pim_stop	485
TOP.6288ddb9.00010df4	user_options->version	0
TOP.6288ddb9.00010df4	user_options->workload_profile	2
TOP.6288ddb9.00010df4	user_options->brain_client	0
TOP.6288ddb9.00010df4	user_options->brain_client_features	2
TOP.6288ddb9.00010df4	user_options->brain_server	0
TOP.6288ddb9.00010df4	user_options->brain_server_timer	300
TOP.6288ddb9.00010df4	user_options->brain_port	6863
TOP.6288ddb9.00010df4	user_options->brain_session	0
TOP.6288ddb9.00010df4	proc_start	1653136825
TOP.6288ddb9.00010df4	proc_stop	1653136825
TOP.6288ddb9.00010df4	STOP
TOP.6288dde1.000f3a6b	START
TOP.6288dde1.000f3a6b	folder_config->cwd	C:\Users\I3_7350k\Downloads\hashcat-6.2.5
TOP.6288dde1.000f3a6b	folder_config->install_dir	.
TOP.6288dde1.000f3a6b	folder_config->profile_dir	.
TOP.6288dde1.000f3a6b	folder_config->session_dir	.
TOP.6288dde1.000f3a6b	folder_config->shared_dir	.
TOP.6288dde1.000f3a6b	user_options->encoding_from	utf-8
TOP.6288dde1.000f3a6b	user_options->encoding_to	utf-8
TOP.6288dde1.000f3a6b	user_options->rule_buf_l	:
TOP.6288dde1.000f3a6b	user_options->rule_buf_r	:
TOP.6288dde1.000f3a6b	user_options->session	hashcat
TOP.6288dde1.000f3a6b	user_options->separator	:
TOP.6288dde1.000f3a6b	user_options->limit	0
TOP.6288dde1.000f3a6b	user_options->skip	0
TOP.6288dde1.000f3a6b	user_options->attack_mode	3
TOP.6288dde1.000f3a6b	user_options->benchmark	0
TOP.6288dde1.000f3a6b	user_options->benchmark_all	0
TOP.6288dde1.000f3a6b	user_options->bitmap_max	18
TOP.6288dde1.000f3a6b	user_options->bitmap_min	16
TOP.6288dde1.000f3a6b	user_options->debug_mode	0
TOP.6288dde1.000f3a6b	user_options->hash_info	0
TOP.6288dde1.000f3a6b	user_options->force	0
